resume_index,job_role,resume_skills,required_skills,matched_skills,missing_skills,required_skill_count,matched_skill_count,skill_alignment_percentage
3716,Instructional Designer,"adult learning, assessment, confluence, course development, creativity, e-learning, flask, presentation skills, technology","adult learning, android, angular, app testing, assessment, course development, creativity, e-learning, flask, kubernetes, ruby, technology","adult learning, assessment, course development, creativity, e-learning, flask, technology","android, angular, app testing, kubernetes, ruby",12,7,58.33
3717,Livestock Manager,"business skills, equipment, figma, health knowledge, leadership, livestock care, postgresql, problem solving, sql","business skills, decision making, equipment, health knowledge, leadership, livestock care, penetration testing, problem solving, sales","business skills, equipment, health knowledge, leadership, livestock care, problem solving","decision making, penetration testing, sales",9,6,66.67
3718,Museum Curator,"art knowledge, communication, curation, documentation, machine learning, management, marketing, oracle, problem solving, research","art knowledge, communication, curation, figma, management, problem solving, react, research, user experience","art knowledge, communication, curation, management, problem solving, research","figma, react, user experience",9,6,66.67
3719,Systems Administrator,"active directory, linux, market research, networking, problem solving, ruby, security, troubleshooting, windows server","active directory, confluence, figma, jira, linux, market research, networking, oracle, security, teamwork, troubleshooting, user interface, windows server","active directory, linux, market research, networking, security, troubleshooting, windows server","confluence, figma, jira, oracle, teamwork, user interface",13,7,53.85
3720,CMO,"agile, brand management, digital transformation, executive communication, jupyter, market intelligence, perl, react, scala, strategic leadership, vision","agile, brand management, digital transformation, executive communication, market intelligence, strategic leadership, vision","agile, brand management, digital transformation, executive communication, market intelligence, strategic leadership, vision",,7,7,100.0
3721,Sous Chef,"budget management, creativity, css, culinary skills, food safety, kitchen management, leadership, react, seo, training","adaptability, creativity, css, culinary skills, flutter, food safety, kitchen management, leadership, rest api, training","creativity, css, culinary skills, food safety, kitchen management, leadership, training","adaptability, flutter, rest api",10,7,70.0
3722,Network Engineer,"cisco, configuration, ip, leadership, networking, presentation skills, routing, security, tcp","agile, app testing, cisco, configuration, ip, networking, routing, security, swift, tcp","cisco, configuration, ip, networking, routing, security, tcp","agile, app testing, swift",10,7,70.0
3723,Heavy Equipment Operator,"attention to detail, communication, equipment operation, graphql, oracle, precision, problem solving, safety","attention to detail, communication, equipment operation, mobile ui, precision, problem solving, ruby, safety, ux","attention to detail, communication, equipment operation, precision, problem solving, safety","mobile ui, ruby, ux",9,6,66.67
3724,Physician,"decision making, diagnosis, empathy, medical knowledge, patient communication, seo, statistics, treatment","data analysis, decision making, diagnosis, empathy, javascript, kubernetes, medical knowledge, patient communication, rest api, ruby, statistics, technical writing, treatment","decision making, diagnosis, empathy, medical knowledge, patient communication, statistics, treatment","data analysis, javascript, kubernetes, rest api, ruby, technical writing",13,7,53.85
3725,Technical Lead,"architecture, code review, communication, leadership, mentoring, presentation skills, problem solving, risk assessment","architecture, code review, communication, leadership, mentoring, postgresql, problem solving, project management","architecture, code review, communication, leadership, mentoring, problem solving","postgresql, project management",8,6,75.0
3726,Esthetician,"communication, customer service, decision making, facial treatment, flutter, market research, mobile security, product knowledge, shell scripting, skincare, technical skills","communication, customer service, deep learning, facial treatment, product knowledge, sales, skincare, technical skills","communication, customer service, facial treatment, product knowledge, skincare, technical skills","deep learning, sales",8,6,75.0
3727,Chief Executive Officer,"agile, business acumen, communication, decision making, executive management, kanban, statistics, strategic leadership, tensorflow, vision","android, business acumen, communication, decision making, executive management, strategic leadership, vision","business acumen, communication, decision making, executive management, strategic leadership, vision",android,7,6,85.71
3728,Structural Engineer,"building codes, cad, calculations, creativity, design, materials, mentoring, mysql, negotiation, perl, structural analysis","building codes, cad, calculations, design, go, html, materials, negotiation, react native, structural analysis, tensorflow","building codes, cad, calculations, design, materials, negotiation, structural analysis","go, html, react native, tensorflow",11,7,63.64
3729,Farmer,"business management, equipment operation, farming, problem solving, safety, seo, shell scripting, sql, sustainability, user experience","business management, equipment operation, farming, graphql, kanban, problem solving, rust, safety, sql, sustainability","business management, equipment operation, farming, problem solving, safety, sql, sustainability","graphql, kanban, rust",10,7,70.0
3730,Teacher,"classroom management, communication, curriculum development, instruction, microservices, mobile security, patience, redis, rust, student assessment","classroom management, communication, curriculum development, instruction, patience, student assessment","classroom management, communication, curriculum development, instruction, patience, student assessment",,6,6,100.0
3731,Kafka Developer,"apache kafka, distributed systems, event processing, go, pandas, problem solving, scalability, scikit-learn, streaming, web design","angular, apache kafka, distributed systems, event processing, kotlin, problem solving, scalability, streaming","apache kafka, distributed systems, event processing, problem solving, scalability, streaming","angular, kotlin",8,6,75.0
3732,Warehouse Manager,"html, inventory control, mentoring, organization, problem solving, safety, staff management, warehouse management","c++, inventory control, kanban, organization, problem solving, safety, staff management, warehouse management","inventory control, organization, problem solving, safety, staff management, warehouse management","c++, kanban",8,6,75.0
3733,Backend Developer,"api development, aws, database design, gcp, java, kubernetes, node.js, python, sql","api development, database design, go, java, node.js, python, serverless, sql","api development, database design, java, node.js, python, sql","go, serverless",8,6,75.0
3734,Vue Developer,"api integration, css, html, javascript, mobile ui, rest api, ruby, sales, scikit-learn, ux, vue.js, vuex","api integration, css, documentation, html, javascript, rest api, vue.js, vuex","api integration, css, html, javascript, rest api, vue.js, vuex",documentation,8,7,87.5
3735,Cybersecurity Specialist,"cassandra, cd, ci, encryption, firewalls, javascript, networking, penetration testing, risk analysis, security protocols, sql","cd, ci, encryption, firewalls, networking, penetration testing, python, risk analysis, sales, security protocols","cd, ci, encryption, firewalls, networking, penetration testing, risk analysis, security protocols","python, sales",10,8,80.0
3736,Compliance Officer,"auditing, communication, compliance, documentation, flask, go, kanban, nosql, regulations, risk management, seo","auditing, business development, c++, cd, ci, communication, compliance, documentation, firewalls, regulations, risk management, security architecture","auditing, communication, compliance, documentation, regulations, risk management","business development, c++, cd, ci, firewalls, security architecture",12,6,50.0
3737,Botanist,"communication, creativity, data analysis, field work, kubernetes, plant science, problem solving, research, security architecture, swift, web design","communication, data analysis, field work, plant science, problem solving, research, user experience","communication, data analysis, field work, plant science, problem solving, research",user experience,7,6,85.71
3738,Accountant,"accounting principles, c++, excel, financial analysis, flutter, gaap, machine learning, power bi, quickbooks, tax knowledge","accounting principles, excel, financial analysis, gaap, quickbooks, tax knowledge, typescript, user experience","accounting principles, excel, financial analysis, gaap, quickbooks, tax knowledge","typescript, user experience",8,6,75.0
3739,Accountant,"accounting principles, cassandra, excel, financial analysis, gaap, machine learning, microservices, quickbooks, tax knowledge, user experience","accounting principles, excel, financial analysis, gaap, quickbooks, tax knowledge, typescript, user experience","accounting principles, excel, financial analysis, gaap, quickbooks, tax knowledge, user experience",typescript,8,7,87.5
3740,Video Editor,"attention to detail, audio editing, color grading, creativity, jenkins, python, storytelling, video editing software","attention to detail, audio editing, color grading, creativity, decision making, gcp, oracle, postgresql, ruby, storytelling, tableau, video editing software","attention to detail, audio editing, color grading, creativity, storytelling, video editing software","decision making, gcp, oracle, postgresql, ruby, tableau",12,6,50.0
3741,Cloud Architect,"aws, azure, compliance, gcp, marketing, negotiation, networking, security, system design, tableau","aws, azure, gcp, javascript, jira, networking, nosql, security, system design, teamwork","aws, azure, gcp, networking, security, system design","javascript, jira, nosql, teamwork",10,6,60.0
3742,Government Analyst,"communication, data analysis, government knowledge, html, perl, policy analysis, research, shell scripting, writing","communication, data analysis, flask, government knowledge, graphic design, machine learning, nosql, policy analysis, python, research, sales, shell scripting, writing","communication, data analysis, government knowledge, policy analysis, research, shell scripting, writing","flask, graphic design, machine learning, nosql, python, sales",13,7,53.85
3743,Videographer,"azure, c++, creativity, decision making, editing, lighting, storytelling, technical skills, video shooting","confluence, creativity, editing, lighting, redis, storytelling, technical skills, video shooting","creativity, editing, lighting, storytelling, technical skills, video shooting","confluence, redis",8,6,75.0
3744,Director,"budget control, communication, decision making, department management, leadership, strategic planning, user interface, web accessibility","budget control, communication, compliance, decision making, department management, kotlin, leadership, responsive design, strategic planning, time management","budget control, communication, decision making, department management, leadership, strategic planning","compliance, kotlin, responsive design, time management",10,6,60.0
3745,Lawyer,"communication, ethics, legal knowledge, negotiation, problem solving, research, security protocols, writing","agile, angular, communication, data analysis, ethics, legal knowledge, mobile security, mobile ui, negotiation, oracle, problem solving, research, scrum, ux, writing","communication, ethics, legal knowledge, negotiation, problem solving, research, writing","agile, angular, data analysis, mobile security, mobile ui, oracle, scrum, ux",15,7,46.67
3746,Non-profit Director,"android, budget management, communication, confluence, fundraising, non-profit leadership, strategic planning, vision","budget management, communication, flask, fundraising, go, machine learning, non-profit leadership, rust, strategic planning, vision","budget management, communication, fundraising, non-profit leadership, strategic planning, vision","flask, go, machine learning, rust",10,6,60.0
3747,C++ Developer,"aws, c++, debugging, figma, gcp, kanban, kubernetes, memory management, performance, problem solving, system programming","budget management, c++, debugging, memory management, penetration testing, performance, problem solving, responsive design, system programming, wireframing","c++, debugging, memory management, performance, problem solving, system programming","budget management, penetration testing, responsive design, wireframing",10,6,60.0
3748,IT Consultant,"android, communication, graphic design, it knowledge, market research, problem solving, project management, system design, technical expertise","communication, it knowledge, problem solving, project management, system design, technical expertise, time management","communication, it knowledge, problem solving, project management, system design, technical expertise",time management,7,6,85.71
3749,IoT Engineer,"c++, confluence, css, embedded systems, iot technology, kanban, networking, power bi, sensors, system design, vue.js","c++, confluence, embedded systems, iot technology, networking, sensors, system design","c++, confluence, embedded systems, iot technology, networking, sensors, system design",,7,7,100.0
3750,Ship Captain,"adobe creative suite, business acumen, leadership, maritime law, navigation, problem solving, safety, scala, technical knowledge, web design","compliance, leadership, machine learning, maritime law, navigation, problem solving, safety, tableau, technical knowledge","leadership, maritime law, navigation, problem solving, safety, technical knowledge","compliance, machine learning, tableau",9,6,66.67
3751,Welder,"docker, physical stamina, pl management, precision, problem solving, safety, technical knowledge, welding","physical stamina, precision, problem solving, safety, strategic planning, technical knowledge, user interface, welding","physical stamina, precision, problem solving, safety, technical knowledge, welding","strategic planning, user interface",8,6,75.0
3752,AI/ML Specialist,"artificial intelligence, deep learning, go, mysql, pl management, problem solving, python, research, serverless, tensorflow, time management","adobe creative suite, artificial intelligence, budget management, cd, ci, deep learning, encryption, financial analysis, power bi, problem solving, python, research, tensorflow, vue.js","artificial intelligence, deep learning, problem solving, python, research, tensorflow","adobe creative suite, budget management, cd, ci, encryption, financial analysis, power bi, vue.js",14,6,42.86
3753,Performance Tester,"analysis, android, java, jmeter, load testing, oracle, performance testing, problem solving, reporting, risk assessment, scikit-learn","analysis, jmeter, load testing, machine learning, performance testing, problem solving, pytorch, reporting","analysis, jmeter, load testing, performance testing, problem solving, reporting","machine learning, pytorch",8,6,75.0
3754,Electronics Engineer,"app testing, aws, cad, circuit design, embedded systems, hardware design, jupyter, microcontrollers, pcb design, sql, swift","cad, circuit design, embedded systems, hardware design, microcontrollers, pcb design","cad, circuit design, embedded systems, hardware design, microcontrollers, pcb design",,6,6,100.0
3755,Operations Manager,"data analysis, database design, efficiency optimization, gcp, kanban, leadership, process management, project management, quality control","data analysis, efficiency optimization, flask, leadership, process management, project management, quality control","data analysis, efficiency optimization, leadership, process management, project management, quality control",flask,7,6,85.71
3756,Corporate Lawyer,"communication, contract negotiation, corporate law, figma, node.js, research, strategic thinking, writing","communication, contract negotiation, corporate law, research, strategic thinking, writing","communication, contract negotiation, corporate law, research, strategic thinking, writing",,6,6,100.0
3757,Water Treatment Operator,"compliance, equipment operation, flask, ios, jenkins, maintenance, nosql, safety, testing, water treatment","compliance, equipment operation, maintenance, safety, testing, water treatment","compliance, equipment operation, maintenance, safety, testing, water treatment",,6,6,100.0
3758,AI/ML Specialist,"artificial intelligence, aws, c#, deep learning, problem solving, python, research, technical writing, tensorflow","adobe creative suite, artificial intelligence, budget management, cd, ci, deep learning, encryption, financial analysis, power bi, problem solving, python, research, tensorflow, vue.js","artificial intelligence, deep learning, problem solving, python, research, tensorflow","adobe creative suite, budget management, cd, ci, encryption, financial analysis, power bi, vue.js",14,6,42.86
3759,MongoDB Developer,"aggregation, docker, indexing, javascript, json, mongodb, nosql, pandas","aggregation, indexing, javascript, json, mongodb, nosql, tableau","aggregation, indexing, javascript, json, mongodb, nosql",tableau,7,6,85.71
3760,MATLAB Developer,"cloudformation, graphic design, jira, mathematics, matlab, numerical analysis, problem solving, scala, signal processing, simulink, typescript","azure, cassandra, mathematics, matlab, numerical analysis, problem solving, signal processing, simulink, typescript","mathematics, matlab, numerical analysis, problem solving, signal processing, simulink, typescript","azure, cassandra",9,7,77.78
3761,Manufacturing Engineer,"cad, equipment knowledge, html, market research, mobile ui, problem solving, process design, production planning, quality control, ux","cad, decision making, equipment knowledge, market research, mobile security, problem solving, process design, production planning, prototyping, quality control","cad, equipment knowledge, market research, problem solving, process design, production planning, quality control","decision making, mobile security, prototyping",10,7,70.0
3762,Learning & Development Manager,"coaching, curriculum development, e-learning, leadership, mobile security, project management, prototyping, training design","coaching, curriculum development, e-learning, leadership, machine learning, project management, training design","coaching, curriculum development, e-learning, leadership, project management, training design",machine learning,7,6,85.71
3763,Content Marketing Manager,"analytics, content strategy, flutter, html, numpy, project management, research, responsive design, seo, shell scripting, writing","analytics, confluence, content strategy, flutter, project management, research, seo, shell scripting, writing","analytics, content strategy, flutter, project management, research, seo, shell scripting, writing",confluence,9,8,88.89
3764,Copywriter,"android, brand voice, communication, creativity, data analysis, deep learning, marketing, research, seo knowledge, writing","brand voice, creativity, marketing, pandas, research, seo knowledge, writing","brand voice, creativity, marketing, research, seo knowledge, writing",pandas,7,6,85.71
3765,Archivist,"archives management, documentation, html, organization, preservation, problem solving, research, serverless, swift, time management","archives management, budget management, documentation, jenkins, organization, preservation, problem solving, research, swift","archives management, documentation, organization, preservation, problem solving, research, swift","budget management, jenkins",9,7,77.78
3766,Sports Manager,"adobe creative suite, communication, financial management, java, kotlin, leadership, marketing, problem solving, sports management","adobe creative suite, communication, financial management, flutter, leadership, marketing, problem solving, sports management, tensorflow","adobe creative suite, communication, financial management, leadership, marketing, problem solving, sports management","flutter, tensorflow",9,7,77.78
3767,Elixir Developer,"distributed systems, elixir, erlang, functional programming, kanban, phoenix framework, problem solving, user experience","distributed systems, elixir, erlang, functional programming, kanban, nosql, phoenix framework, problem solving, pytorch, react native, scikit-learn, security protocols","distributed systems, elixir, erlang, functional programming, kanban, phoenix framework, problem solving","nosql, pytorch, react native, scikit-learn, security protocols",12,7,58.33
3768,Machine Learning Engineer,"ansible, deep learning, documentation, mysql, python, pytorch, research, scala, statistics, tensorflow","deep learning, firewalls, mongodb, mysql, problem solving, python, pytorch, research, shell scripting, statistics, swift, tensorflow, user experience","deep learning, mysql, python, pytorch, research, statistics, tensorflow","firewalls, mongodb, problem solving, shell scripting, swift, user experience",13,7,53.85
3769,Makeup Artist,"color theory, communication, creativity, customer service, graphql, makeup application, rest api, technical skills, wireframing","color theory, communication, creativity, customer service, flask, gcp, graphic design, graphql, makeup application, mobile ui, scrum, technical skills, ux, vue.js","color theory, communication, creativity, customer service, graphql, makeup application, technical skills","flask, gcp, graphic design, mobile ui, scrum, ux, vue.js",14,7,50.0
3770,Art Director,"angular, artistic direction, communication, confluence, creativity, design principles, firewalls, java, team leadership, visual communication","artistic direction, communication, creativity, design principles, pytorch, shell scripting, team leadership, visual communication","artistic direction, communication, creativity, design principles, team leadership, visual communication","pytorch, shell scripting",8,6,75.0
3771,DevOps Engineer,"ansible, aws, cd, ci, docker, figma, kubernetes, linux, node.js, penetration testing, scripting, web design","ansible, aws, cd, ci, docker, kubernetes, linux, node.js, penetration testing, query optimization, scripting","ansible, aws, cd, ci, docker, kubernetes, linux, node.js, penetration testing, scripting",query optimization,11,10,90.91
3772,Healthcare Administrator,"budget control, communication, compliance, figma, healthcare management, leadership, pandas, strategic planning, web design","budget control, communication, compliance, creativity, docker, healthcare management, kotlin, leadership, mobile ui, strategic planning, ux","budget control, communication, compliance, healthcare management, leadership, strategic planning","creativity, docker, kotlin, mobile ui, ux",11,6,54.55
3773,Salesforce Developer,"apex, crm, figma, graphic design, lightning, pandas, problem solving, salesforce, visualforce","adobe creative suite, apex, crm, lightning, problem solving, salesforce, visualforce","apex, crm, lightning, problem solving, salesforce, visualforce",adobe creative suite,7,6,85.71
3774,Budget Analyst,"attention to detail, azure, budget planning, communication, decision making, excel, financial analysis, forecasting, swift, time management","adobe creative suite, attention to detail, budget planning, communication, excel, figma, financial analysis, forecasting, marketing, react native, risk assessment, scala, scikit-learn, time management","attention to detail, budget planning, communication, excel, financial analysis, forecasting, time management","adobe creative suite, figma, marketing, react native, risk assessment, scala, scikit-learn",14,7,50.0
3775,Cloud Architect,"aws, azure, business development, deep learning, gcp, mobile security, networking, scrum, security, system design, user interface","aws, azure, gcp, javascript, jira, networking, nosql, security, system design, teamwork","aws, azure, gcp, networking, security, system design","javascript, jira, nosql, teamwork",10,6,60.0
3776,Tour Guide,"communication, cultural sensitivity, customer service, enthusiasm, marketing, mongodb, problem solving, regional knowledge","communication, cultural sensitivity, customer service, enthusiasm, kanban, marketing, problem solving, regional knowledge, statistics","communication, cultural sensitivity, customer service, enthusiasm, marketing, problem solving, regional knowledge","kanban, statistics",9,7,77.78
3777,Sustainability Consultant,"analysis, business acumen, c++, communication, docker, environmental knowledge, figma, pl management, problem solving, sustainability strategy","analysis, business acumen, cloudformation, communication, creativity, docker, environmental knowledge, graphic design, problem solving, redis, sql, sustainability strategy","analysis, business acumen, communication, docker, environmental knowledge, problem solving, sustainability strategy","cloudformation, creativity, graphic design, redis, sql",12,7,58.33
3778,Patent Attorney,"cd, ci, communication, confluence, figma, legal expertise, patent law, research, technical knowledge, writing","communication, legal expertise, patent law, research, technical knowledge, terraform, writing","communication, legal expertise, patent law, research, technical knowledge, writing",terraform,7,6,85.71
3779,Nail Technician,"artistry, c#, communication, customer service, decision making, nail care, precision, rust, sanitation","ansible, artistry, business acumen, communication, customer service, financial analysis, nail care, precision, rust, sanitation","artistry, communication, customer service, nail care, precision, rust, sanitation","ansible, business acumen, financial analysis",10,7,70.0
3780,Product Researcher,"c++, communication, data analysis, flutter, perl, problem solving, report writing, research methodology, technical writing, terraform, user research","cd, ci, communication, data analysis, problem solving, report writing, research methodology, security architecture, technical writing, user research","communication, data analysis, problem solving, report writing, research methodology, technical writing, user research","cd, ci, security architecture",10,7,70.0
3781,Frontend Developer,"css, html, javascript, jupyter, machine learning, react, ui, ux design, vue.js","css, html, javascript, market research, python, react, ui, ux design, vue.js","css, html, javascript, react, ui, ux design, vue.js","market research, python",9,7,77.78
3782,Food Scientist,"food science, go, problem solving, quality control, research, teamwork, technical knowledge, testing","business development, c#, database design, food science, kubernetes, problem solving, quality control, research, rust, sales, tableau, technical knowledge, terraform, testing","food science, problem solving, quality control, research, technical knowledge, testing","business development, c#, database design, kubernetes, rust, sales, tableau, terraform",14,6,42.86
3783,Announcer,"communication, critical thinking, machine learning, professionalism, pronunciation, public speaking, pytorch, quick thinking, voice skills","adobe creative suite, communication, professionalism, pronunciation, public speaking, quick thinking, voice skills","communication, professionalism, pronunciation, public speaking, quick thinking, voice skills",adobe creative suite,7,6,85.71
3784,Email Marketing Specialist,"analytics, automation platforms, b testing, copywriting, email campaign management, flask, penetration testing, segmentation","analytics, automation platforms, b testing, copywriting, email campaign management, scrum, segmentation, wireframing","analytics, automation platforms, b testing, copywriting, email campaign management, segmentation","scrum, wireframing",8,6,75.0
3785,Line Cook,"accuracy, cooking, food safety, kitchen skills, machine learning, rest api, scikit-learn, serverless, speed, swift, teamwork","accuracy, confluence, cooking, food safety, kitchen skills, negotiation, speed, teamwork","accuracy, cooking, food safety, kitchen skills, speed, teamwork","confluence, negotiation",8,6,75.0
3786,Qlik Developer,"analytics, dashboard development, data visualization, database design, prototyping, qlik sense, qlik view, sql","analytics, dashboard development, data visualization, problem solving, qlik sense, qlik view, sql","analytics, dashboard development, data visualization, qlik sense, qlik view, sql",problem solving,7,6,85.71
3787,C++ Developer,"c++, debugging, machine learning, memory management, performance, problem solving, system programming, wireframing","budget management, c++, debugging, memory management, penetration testing, performance, problem solving, responsive design, system programming, wireframing","c++, debugging, memory management, performance, problem solving, system programming, wireframing","budget management, penetration testing, responsive design",10,7,70.0
3788,Firefighter,"agile, fire fighting, physical fitness, presentation skills, problem solving, quick thinking, safety, sql, strategic planning, teamwork","c#, fire fighting, physical fitness, problem solving, quick thinking, safety, teamwork","fire fighting, physical fitness, problem solving, quick thinking, safety, teamwork",c#,7,6,85.71
3789,Chef,"adobe creative suite, angular, cooking, creativity, food safety, kitchen management, kotlin, mobile ui, penetration testing, recipe development, time management, ux","angular, cooking, creativity, food safety, kitchen management, mobile security, recipe development, risk assessment, time management, vue.js","angular, cooking, creativity, food safety, kitchen management, recipe development, time management","mobile security, risk assessment, vue.js",10,7,70.0
3790,Kafka Developer,"apache kafka, distributed systems, event processing, kotlin, problem solving, scala, scalability, streaming, user experience","angular, apache kafka, distributed systems, event processing, kotlin, problem solving, scalability, streaming","apache kafka, distributed systems, event processing, kotlin, problem solving, scalability, streaming",angular,8,7,87.5
3791,AR/VR Developer,"3d graphics, ar, c#, confluence, network security, numpy, problem solving, unity, unreal engine, vr platforms","3d graphics, ar, aws, c#, confluence, marketing, problem solving, rest api, unity, unreal engine, vr platforms","3d graphics, ar, c#, confluence, problem solving, unity, unreal engine, vr platforms","aws, marketing, rest api",11,8,72.73
3792,Haskell Developer,"azure, concurrency, firewalls, functional programming, haskell, lambda calculus, oracle, problem solving, type system","concurrency, functional programming, haskell, lambda calculus, problem solving, tensorflow, type system","concurrency, functional programming, haskell, lambda calculus, problem solving, type system",tensorflow,7,6,85.71
3793,Registered Nurse,"android, clinical skills, communication, critical thinking, flutter, ios, machine learning, medical records, nursing care, patient monitoring","clinical skills, communication, critical thinking, medical records, nosql, nursing care, patient monitoring, tensorflow, typescript, user experience","clinical skills, communication, critical thinking, medical records, nursing care, patient monitoring","nosql, tensorflow, typescript, user experience",10,6,60.0
3794,Bartender,"bartending, communication, customer service, graphql, memory, pl management, problem solving, python, team work, technical writing","bartending, communication, customer service, memory, negotiation, pl management, postgresql, problem solving, project management, team work","bartending, communication, customer service, memory, pl management, problem solving, team work","negotiation, postgresql, project management",10,7,70.0
3795,Bus Driver,"customer service, docker, driving, problem solving, redis, responsibility, route knowledge, safety","customer service, driving, machine learning, mongodb, problem solving, project management, responsibility, route knowledge, safety, sales","customer service, driving, problem solving, responsibility, route knowledge, safety","machine learning, mongodb, project management, sales",10,6,60.0
3796,Event Coordinator,"budget management, communication, documentation, event planning, organization, pl management, problem solving, vendor management","budget management, communication, event planning, leadership, machine learning, microservices, organization, problem solving, ruby, scala, vendor management","budget management, communication, event planning, organization, problem solving, vendor management","leadership, machine learning, microservices, ruby, scala",11,6,54.55
3797,Sales Associate,"communication, customer service, problem solving, product knowledge, react, risk assessment, sales, teamwork","cassandra, communication, confluence, customer service, problem solving, product knowledge, sales, teamwork","communication, customer service, problem solving, product knowledge, sales, teamwork","cassandra, confluence",8,6,75.0
3798,Nail Technician,"artistry, communication, customer service, encryption, figma, nail care, precision, sales, sanitation, scikit-learn, typescript","ansible, artistry, business acumen, communication, customer service, financial analysis, nail care, precision, rust, sanitation","artistry, communication, customer service, nail care, precision, sanitation","ansible, business acumen, financial analysis, rust",10,6,60.0
3799,QA Engineer,"api testing, bug tracking, jira, manual testing, negotiation, python, query optimization, selenium, sql, test automation, vue.js","adobe creative suite, angular, api testing, bug tracking, manual testing, scala, security protocols, selenium, sql, test automation, vue.js","api testing, bug tracking, manual testing, selenium, sql, test automation, vue.js","adobe creative suite, angular, scala, security protocols",11,7,63.64
3800,Public Administrator,"aws, budget management, communication, documentation, javascript, leadership, policy knowledge, public administration, ruby, strategic planning, teamwork","adaptability, budget management, communication, leadership, perl, policy knowledge, public administration, ruby, strategic planning","budget management, communication, leadership, policy knowledge, public administration, ruby, strategic planning","adaptability, perl",9,7,77.78
3801,Sales Associate,"azure, communication, confluence, customer service, problem solving, product knowledge, rust, sales, teamwork","cassandra, communication, confluence, customer service, problem solving, product knowledge, sales, teamwork","communication, confluence, customer service, problem solving, product knowledge, sales, teamwork",cassandra,8,7,87.5
3802,Call Center Manager,"communication, customer service, leadership, numpy, performance metrics, problem solving, pytorch, team management","communication, customer service, leadership, performance metrics, problem solving, responsive design, team management","communication, customer service, leadership, performance metrics, problem solving, team management",responsive design,7,6,85.71
3803,Firefighter,"adobe creative suite, angular, fire fighting, go, oracle, physical fitness, problem solving, quick thinking, safety, teamwork, wireframing","c#, fire fighting, physical fitness, problem solving, quick thinking, safety, teamwork","fire fighting, physical fitness, problem solving, quick thinking, safety, teamwork",c#,7,6,85.71
3804,DevSecOps Engineer,"cd, ci, compliance, container security, critical thinking, devops, linux, security, serverless","agile, cd, ci, communication, compliance, container security, devops, java, jira, linux, mobile ui, network security, security, statistics, ux","cd, ci, compliance, container security, devops, linux, security","agile, communication, java, jira, mobile ui, network security, statistics, ux",15,7,46.67
3805,Technical Account Manager,"account management, client relations, communication, data analysis, problem solving, product knowledge, statistics, technical knowledge, tensorflow","account management, client relations, communication, presentation skills, problem solving, product knowledge, technical knowledge","account management, client relations, communication, problem solving, product knowledge, technical knowledge",presentation skills,7,6,85.71
3806,COO,"agile, business operations, communication, decision making, html, leadership, operations management, perl, project management, query optimization, strategic thinking","adobe creative suite, agile, business operations, communication, decision making, leadership, mongodb, operations management, php, power bi, security protocols, serverless, strategic thinking, typescript","agile, business operations, communication, decision making, leadership, operations management, strategic thinking","adobe creative suite, mongodb, php, power bi, security protocols, serverless, typescript",14,7,50.0
3807,Demand Planner,"agile, data analysis, demand forecasting, erp systems, excel, php, scala, statistical analysis, supply planning","adaptability, business development, css, data analysis, demand forecasting, erp systems, excel, mentoring, mobile security, perl, problem solving, statistical analysis, supply planning","data analysis, demand forecasting, erp systems, excel, statistical analysis, supply planning","adaptability, business development, css, mentoring, mobile security, perl, problem solving",13,6,46.15
3808,Teacher,"android, classroom management, communication, curriculum development, html, instruction, mobile ui, patience, seo, statistics, student assessment, ux","classroom management, communication, curriculum development, instruction, patience, student assessment","classroom management, communication, curriculum development, instruction, patience, student assessment",,6,6,100.0
3809,Cassandra Developer,"cassandra, cql, distributed systems, encryption, nosql, performance, scalability, strategic planning, terraform","cassandra, cql, data analysis, distributed systems, kanban, nosql, numpy, performance, scalability, seo, strategic planning","cassandra, cql, distributed systems, nosql, performance, scalability, strategic planning","data analysis, kanban, numpy, seo",11,7,63.64
3810,Blockchain Developer,"blockchain technology, cryptocurrency, javascript, problem solving, python, smart contracts, solidity, teamwork","blockchain technology, cryptocurrency, market research, problem solving, python, smart contracts, solidity","blockchain technology, cryptocurrency, problem solving, python, smart contracts, solidity",market research,7,6,85.71
3811,Physician,"cloudformation, decision making, diagnosis, empathy, html, leadership, medical knowledge, patient communication, ruby, scala, treatment","data analysis, decision making, diagnosis, empathy, javascript, kubernetes, medical knowledge, patient communication, rest api, ruby, statistics, technical writing, treatment","decision making, diagnosis, empathy, medical knowledge, patient communication, ruby, treatment","data analysis, javascript, kubernetes, rest api, statistics, technical writing",13,7,53.85
3812,Mechanic,"adaptability, android, attention to detail, docker, equipment knowledge, jira, problem solving, react, safety, troubleshooting, vehicle mechanics","attention to detail, confluence, equipment knowledge, problem solving, safety, troubleshooting, vehicle mechanics","attention to detail, equipment knowledge, problem solving, safety, troubleshooting, vehicle mechanics",confluence,7,6,85.71
3813,Healthcare Administrator,"aws, budget control, communication, compliance, data analysis, docker, healthcare management, leadership, negotiation, php, strategic planning","budget control, communication, compliance, creativity, docker, healthcare management, kotlin, leadership, mobile ui, strategic planning, ux","budget control, communication, compliance, docker, healthcare management, leadership, strategic planning","creativity, kotlin, mobile ui, ux",11,7,63.64
